  x  	  n(x)  	  dndx(x)  	  Alfa  	  Band gap  	  EQ Field
  1.42e-06	1.083e+11	-1.637e+16	9.329e+06	2.531	-1.615e+05
 1.427e-06	1.082e+11	-1.635e+16	9.341e+06	2.529	-1.615e+05
 1.435e-06	1.08e+11	-1.633e+16	9.353e+06	2.528	-1.615e+05
 1.443e-06	1.079e+11	-1.632e+16	9.365e+06	2.527	-1.615e+05
 1.451e-06	1.078e+11	-1.63e+16	9.376e+06	2.526	-1.615e+05
 1.459e-06	1.077e+11	-1.628e+16	9.388e+06	2.524	-1.615e+05
 1.466e-06	1.075e+11	-1.626e+16	9.4e+06	2.523	-1.615e+05
 1.474e-06	1.074e+11	-1.624e+16	9.412e+06	2.522	-1.615e+05
 1.482e-06	1.073e+11	-1.622e+16	9.424e+06	2.521	-1.615e+05
  1.49e-06	1.072e+11	-1.62e+16	9.436e+06	2.519	-1.615e+05
 1.498e-06	1.07e+11	-1.618e+16	9.448e+06	2.518	-1.615e+05
 1.505e-06	1.069e+11	-1.616e+16	9.459e+06	2.517	-1.615e+05
 1.513e-06	1.068e+11	-1.614e+16	9.471e+06	2.516	-1.615e+05
 1.521e-06	1.066e+11	-1.613e+16	9.483e+06	2.514	-1.615e+05
 1.529e-06	1.065e+11	-1.611e+16	9.495e+06	2.513	-1.615e+05
 1.537e-06	1.064e+11	-1.609e+16	9.507e+06	2.512	-1.615e+05
 1.544e-06	1.063e+11	-1.607e+16	9.519e+06	2.511	-1.615e+05
 1.552e-06	1.061e+11	-1.605e+16	9.531e+06	2.509	-1.615e+05
  1.56e-06	1.06e+11	-1.603e+16	9.543e+06	2.508	-1.615e+05
 1.568e-06	1.059e+11	-1.601e+16	9.555e+06	2.507	-1.615e+05
 1.576e-06	1.058e+11	-1.599e+16	9.567e+06	2.505	-1.615e+05
 1.583e-06	1.056e+11	-1.598e+16	9.579e+06	2.504	-1.615e+05
 1.591e-06	1.055e+11	-1.596e+16	9.591e+06	2.503	-1.615e+05
 1.599e-06	1.054e+11	-1.594e+16	9.604e+06	2.502	-1.615e+05
 1.607e-06	1.053e+11	-1.592e+16	9.616e+06	2.5	-1.615e+05
 1.615e-06	1.051e+11	-1.59e+16	9.628e+06	2.499	-1.615e+05
 1.622e-06	1.05e+11	-1.588e+16	9.64e+06	2.498	-1.615e+05
  1.63e-06	1.049e+11	-1.586e+16	9.652e+06	2.497	-1.615e+05
 1.638e-06	1.048e+11	-1.584e+16	9.664e+06	2.495	-1.615e+05
 1.646e-06	1.047e+11	-1.583e+16	9.676e+06	2.494	-1.615e+05
 1.654e-06	1.045e+11	-1.581e+16	9.689e+06	2.493	-1.615e+05
 1.661e-06	1.044e+11	-1.579e+16	9.701e+06	2.492	-1.615e+05
 1.669e-06	1.043e+11	-1.577e+16	9.713e+06	2.49	-1.615e+05
 1.677e-06	1.042e+11	-1.575e+16	9.725e+06	2.489	-1.615e+05
 1.685e-06	1.04e+11	-1.573e+16	9.738e+06	2.488	-1.615e+05
 1.693e-06	1.039e+11	-1.571e+16	9.75e+06	2.487	-1.615e+05
   1.7e-06	1.038e+11	-1.57e+16	9.762e+06	2.485	-1.615e+05
 1.708e-06	1.037e+11	-1.568e+16	9.774e+06	2.484	-1.615e+05
 1.716e-06	1.035e+11	-1.566e+16	9.787e+06	2.483	-1.615e+05
 1.724e-06	1.034e+11	-1.564e+16	9.799e+06	2.482	-1.615e+05
 1.732e-06	1.033e+11	-1.562e+16	9.811e+06	2.48	-1.615e+05
 1.739e-06	1.032e+11	-1.56e+16	9.824e+06	2.479	-1.615e+05
 1.747e-06	1.031e+11	-1.559e+16	9.836e+06	2.478	-1.615e+05
 1.755e-06	1.029e+11	-1.557e+16	9.849e+06	2.477	-1.615e+05
 1.763e-06	1.028e+11	-1.555e+16	9.861e+06	2.475	-1.615e+05
 1.771e-06	1.027e+11	-1.553e+16	9.873e+06	2.474	-1.615e+05
 1.778e-06	1.026e+11	-1.551e+16	9.886e+06	2.473	-1.615e+05
 1.786e-06	1.025e+11	-1.549e+16	9.898e+06	2.471	-1.615e+05
 1.794e-06	1.023e+11	-1.548e+16	9.911e+06	2.47	-1.615e+05
 1.802e-06	1.022e+11	-1.546e+16	9.923e+06	2.469	-1.615e+05
  1.81e-06	1.021e+11	-1.544e+16	9.936e+06	2.468	-1.615e+05
 1.817e-06	1.02e+11	-1.542e+16	9.948e+06	2.466	-1.615e+05
 1.825e-06	1.019e+11	-1.54e+16	9.961e+06	2.465	-1.615e+05
 1.833e-06	1.017e+11	-1.538e+16	9.974e+06	2.464	-1.615e+05
 1.841e-06	1.016e+11	-1.537e+16	9.986e+06	2.463	-1.615e+05
 1.849e-06	1.015e+11	-1.535e+16	9.999e+06	2.461	-1.615e+05
 1.856e-06	1.014e+11	-1.533e+16	1.001e+07	2.46	-1.615e+05
 1.864e-06	1.013e+11	-1.531e+16	1.002e+07	2.459	-1.615e+05
 1.872e-06	1.011e+11	-1.529e+16	1.004e+07	2.458	-1.615e+05
  1.88e-06	1.01e+11	-1.528e+16	1.005e+07	2.456	-1.615e+05
 1.888e-06	1.009e+11	-1.526e+16	1.006e+07	2.455	-1.615e+05
 1.895e-06	1.008e+11	-1.524e+16	1.007e+07	2.454	-1.615e+05
 1.903e-06	1.007e+11	-1.522e+16	1.009e+07	2.453	-1.615e+05
 1.911e-06	1.005e+11	-1.52e+16	1.01e+07	2.451	-1.615e+05
