x 	 n(x) 	 p(x) 	 Conduction level 	 Valence level 	 Fermi level 	 Generation 
 2.209e-06	1.387e+15	2.994e+17	1.881	-0.1005	0.25	1.966e+26
  2.21e-06	1.391e+15	2.989e+17	1.88	-0.1012	0.25	1.97e+26
 2.211e-06	1.395e+15	2.985e+17	1.88	-0.1019	0.25	1.974e+26
 2.212e-06	1.399e+15	2.98e+17	1.879	-0.1026	0.25	1.979e+26
 2.214e-06	1.403e+15	2.975e+17	1.878	-0.1033	0.25	1.985e+26
 2.215e-06	1.406e+15	2.971e+17	1.877	-0.104	0.25	1.99e+26
 2.216e-06	1.41e+15	2.966e+17	1.876	-0.1047	0.25	1.997e+26
 2.217e-06	1.414e+15	2.962e+17	1.875	-0.1054	0.25	2.002e+26
 2.218e-06	1.418e+15	2.957e+17	1.874	-0.1061	0.25	2.005e+26
  2.22e-06	1.422e+15	2.952e+17	1.873	-0.1068	0.25	2.009e+26
 2.221e-06	1.426e+15	2.948e+17	1.872	-0.1075	0.25	2.013e+26
 2.222e-06	1.43e+15	2.943e+17	1.871	-0.1083	0.25	2.017e+26
 2.223e-06	1.434e+15	2.938e+17	1.87	-0.109	0.25	2.022e+26
 2.224e-06	1.438e+15	2.934e+17	1.869	-0.1097	0.25	2.027e+26
 2.226e-06	1.442e+15	2.929e+17	1.868	-0.1104	0.25	2.033e+26
 2.227e-06	1.446e+15	2.924e+17	1.867	-0.1111	0.25	2.039e+26
 2.228e-06	1.45e+15	2.919e+17	1.866	-0.1119	0.25	2.045e+26
 2.229e-06	1.454e+15	2.914e+17	1.866	-0.1126	0.25	2.052e+26
  2.23e-06	1.458e+15	2.91e+17	1.865	-0.1133	0.25	2.059e+26
 2.232e-06	1.462e+15	2.905e+17	1.864	-0.114	0.25	2.067e+26
 2.233e-06	1.466e+15	2.9e+17	1.863	-0.1147	0.25	2.075e+26
 2.234e-06	1.47e+15	2.895e+17	1.862	-0.1155	0.25	2.082e+26
 2.235e-06	1.474e+15	2.89e+17	1.861	-0.1162	0.25	2.087e+26
 2.236e-06	1.478e+15	2.886e+17	1.86	-0.1169	0.25	2.093e+26
 2.238e-06	1.482e+15	2.881e+17	1.859	-0.1177	0.25	2.098e+26
 2.239e-06	1.486e+15	2.876e+17	1.858	-0.1184	0.25	2.104e+26
  2.24e-06	1.49e+15	2.871e+17	1.857	-0.1191	0.25	2.111e+26
 2.241e-06	1.494e+15	2.866e+17	1.856	-0.1199	0.25	2.117e+26
